t, real_GRF, FOB_GRF, MOB_GRF, posRWr_ref, posRWr, posRWtheta_ref, posRWtheta, tau_bi_m, tau_bi_b, qddot_m, qddot_b
0.000000, 0.000000, -0.445808, -2.450679, 0.353600, 0.135020, 1.570796, 1.844060, 19.701945, -40.977782, -25.935215, -39.162324
0.001500, -136.085501, -85.942404, -83.781795, 0.353600, 0.136697, 1.570796, 1.838869, 14.293908, -24.502108, 22.449845, -38.282465
0.003000, -102.631005, -69.088435, -71.557387, 0.353600, 0.141091, 1.570796, 1.825173, 13.691133, -18.123818, -15.745546, -59.920044
0.004500, -76.491005, -57.286682, -54.410766, 0.353600, 0.147418, 1.570796, 1.806606, 12.959964, -13.034688, 15.700293, 9.214398
0.006000, -55.643750, -47.316640, -45.439610, 0.353600, 0.155151, 1.570796, 1.784769, 12.291640, -8.706038, 10.522925, -14.439666
0.007500, -39.920424, -38.273008, -39.990980, 0.353600, 0.163756, 1.570796, 1.762228, 11.289818, -6.144706, -10.478010, -28.145665
0.009000, -26.626244, -30.159532, -23.208250, 0.353600, 0.172984, 1.570796, 1.739884, 10.244586, -3.896975, 89.467275, 100.778730
0.010500, -18.513040, -25.935781, -25.812981, 0.353600, 0.182559, 1.570796, 1.718006, 9.448492, -1.835206, -10.500815, -18.373404
0.012000, -10.865708, -20.690379, -24.463079, 0.353600, 0.192270, 1.570796, 1.697727, 8.497098, -0.445446, -37.584070, -61.767471
0.013500, -5.995568, -14.517195, -16.928853, 0.353600, 0.201989, 1.570796, 1.679470, 7.295226, 0.307951, 1.750833, -35.901176
0.015000, 1.129756, -11.995306, -13.652123, 0.353600, 0.211636, 1.570796, 1.662515, 6.691305, 1.976665, -13.410595, -19.391344
0.016500, 5.315170, -8.522624, -11.119785, 0.353600, 0.221092, 1.570796, 1.647789, 5.898954, 2.485222, -31.368869, -36.948267
0.018000, 7.248105, -4.725199, -1.756078, 0.353600, 0.230303, 1.570796, 1.635280, 4.784581, 2.565447, 45.126107, 41.680574
0.019500, 11.768170, -1.659450, 1.209068, 0.353600, 0.239251, 1.570796, 1.624202, 4.128049, 3.156792, 27.163232, 82.402949
0.021000, 13.601472, -0.170887, 6.044168, 0.353600, 0.247896, 1.570796, 1.614958, 3.535063, 3.476752, 32.312647, 110.965212
0.022500, 14.634399, 3.396199, 2.489485, 0.353600, 0.256310, 1.570796, 1.607247, 2.542440, 3.677739, 14.475830, 7.309910
0.024000, 14.272208, 5.640986, -0.141578, 0.353600, 0.264276, 1.570796, 1.600968, 2.071920, 3.520131, -18.844957, -37.218325
0.025500, 16.954630, 6.657979, 7.636377, 0.353600, 0.271956, 1.570796, 1.596390, 1.345781, 3.839738, 13.033279, 48.202949
0.027000, 19.730488, 7.663461, 10.903653, 0.353600, 0.279289, 1.570796, 1.592694, 0.960952, 4.266926, 18.550027, 74.008970
0.028500, 17.026653, 8.390067, 7.708431, 0.353600, 0.286274, 1.570796, 1.590441, 0.218422, 3.853052, -7.879760, -33.199615
0.030000, 18.830789, 9.890470, 10.552663, 0.353600, 0.292948, 1.570796, 1.589029, -0.447000, 4.126983, 6.142811, -20.258499
0.031500, 17.733460, 10.667687, 9.153987, 0.353600, 0.299190, 1.570796, 1.588568, -0.841971, 3.498580, -30.400084, -13.174093
0.033000, 18.304835, 12.563824, 10.484918, 0.353600, 0.305201, 1.570796, 1.588877, -1.665209, 3.243656, -19.394207, -6.031693
0.034500, 20.040143, 11.556812, 11.260581, 0.353600, 0.310902, 1.570796, 1.589357, -1.568770, 3.948071, -35.877312, -36.774110
0.036000, 20.166189, 14.084402, 21.738928, 0.353600, 0.316272, 1.570796, 1.591232, -2.558685, 3.338219, 68.362620, 65.300550
0.037500, 18.099177, 14.878915, 12.071775, 0.353600, 0.321289, 1.570796, 1.593029, -2.968348, 2.644681, -15.488219, -17.882744
0.039000, 18.537428, 15.574257, 10.896618, 0.353600, 0.326125, 1.570796, 1.594967, -3.215254, 2.662151, -39.086048, -72.850505
0.040500, 17.754984, 15.442983, 12.613419, 0.353600, 0.330621, 1.570796, 1.597532, -3.538020, 2.502519, -29.607419, -48.885812
0.042000, 18.380123, 16.122189, 17.724808, 0.353600, 0.334858, 1.570796, 1.600270, -3.816253, 2.343412, 9.694877, 27.182890
0.043500, 17.648235, 17.892772, 17.053076, 0.353600, 0.338841, 1.570796, 1.603099, -4.376372, 1.784005, -0.538718, 43.879153
0.045000, 16.460374, 16.514895, 13.929221, 0.353600, 0.342630, 1.570796, 1.605747, -4.470495, 1.981426, -38.654752, -42.768493
0.046500, 17.562047, 16.761828, 14.978176, 0.353600, 0.346184, 1.570796, 1.608549, -4.627032, 2.002380, -29.546277, -45.516048
0.048000, 16.313867, 16.477316, 19.047032, 0.353600, 0.349464, 1.570796, 1.611455, -4.719864, 1.727919, 5.664437, -26.419965
0.049500, 15.892212, 18.298350, 22.801483, 0.353600, 0.352523, 1.570796, 1.614469, -5.186003, 1.087578, 60.297186, 70.801532
0.051000, 16.287240, 18.250769, 23.154866, 0.353600, 0.355422, 1.570796, 1.616956, -5.223112, 1.020979, 39.803875, 51.226719
0.052500, 16.079557, 18.249245, 19.635881, 0.353600, 0.358117, 1.570796, 1.619303, -5.260331, 0.816506, 19.752912, -0.054038
0.054000, 14.819229, 17.575009, 7.851093, 0.353600, 0.360601, 1.570796, 1.621398, -5.266313, 0.817250, -80.037613, -67.421674
0.055500, 13.693454, 17.922064, 17.155368, 0.353600, 0.362927, 1.570796, 1.623646, -5.426557, 0.520935, -1.151030, -7.773332
0.057000, 14.198144, 17.728209, 14.141590, 0.353600, 0.365080, 1.570796, 1.625516, -5.516114, 0.492060, -9.966163, -32.215456
0.058500, 12.599212, 17.020447, 9.354843, 0.353600, 0.367034, 1.570796, 1.627082, -5.424431, 0.328727, -63.879944, -44.277964
0.060000, 11.806044, 17.729364, 13.837131, 0.353600, 0.368813, 1.570796, 1.628707, -5.457932, -0.234334, -7.316128, 22.696469
0.061500, 13.287902, 16.237224, 15.918405, 0.353600, 0.370506, 1.570796, 1.629781, -5.142174, 0.467615, -12.640617, 22.652786
0.063000, 12.392540, 16.959592, 19.867740, 0.353600, 0.372009, 1.570796, 1.630842, -5.232356, -0.086873, 35.296766, 46.878484
0.064500, 10.800575, 16.351396, 10.398125, 0.353600, 0.373373, 1.570796, 1.631368, -5.016307, -0.063337, -37.369391, -34.420383
0.066000, 12.026362, 12.930509, 13.772633, 0.353600, 0.374600, 1.570796, 1.631667, -4.206014, 0.672524, -24.416977, -5.248467
0.067500, 10.302415, 14.955831, 16.508751, 0.353600, 0.375708, 1.570796, 1.632254, -4.610042, 0.087361, 29.884594, 2.828250
0.069000, 9.419241, 14.609567, 9.806799, 0.353600, 0.376688, 1.570796, 1.632182, -4.403026, -0.032980, -29.455303, -56.085252
0.070500, 9.053004, 13.063818, 9.159198, 0.353600, 0.377528, 1.570796, 1.631970, -4.033748, 0.195776, -30.451380, -60.930522
0.072000, 7.915970, 11.747354, 10.971256, 0.353600, 0.378268, 1.570796, 1.631691, -3.806737, 0.281276, -13.542343, -78.495976
0.073500, 8.449194, 11.749442, 9.701378, 0.353600, 0.378876, 1.570796, 1.631187, -3.544762, 0.411151, -17.629051, -51.868211
0.075000, 6.921301, 9.469675, 7.013990, 0.353600, 0.379392, 1.570796, 1.630511, -3.307496, 0.437340, -43.653560, -89.006976
0.076500, 8.217898, 11.049905, 3.293648, 0.353600, 0.379776, 1.570796, 1.629800, -3.223872, 0.088356, -64.549573, -46.198327
0.078000, 6.791667, 10.187655, 13.211991, 0.353600, 0.380074, 1.570796, 1.629037, -2.945633, 0.104072, 19.314182, 35.248168
0.079500, 7.650564, 9.100972, 11.348034, 0.353600, 0.380310, 1.570796, 1.628025, -2.773076, 0.352958, 21.553252, 26.522422
0.081000, 7.379383, 9.629888, 15.324605, 0.353600, 0.380474, 1.570796, 1.627000, -2.739080, 0.305729, 68.880698, 40.557064
0.082500, 7.279349, 6.852835, 6.495063, 0.353600, 0.380485, 1.570796, 1.625624, -2.024639, 0.605577, -25.960500, 9.818404
0.084000, 5.547805, 7.274418, 7.035038, 0.353600, 0.380444, 1.570796, 1.624578, -2.065648, 0.064019, -3.808040, 22.830053
0.085500, 4.442429, 6.293823, 8.714033, 0.353600, 0.380370, 1.570796, 1.623112, -1.704938, 0.350997, 17.033971, -18.046244
0.087000, 5.007532, 7.699888, 7.379375, 0.353600, 0.380171, 1.570796, 1.622040, -1.967215, -0.186919, 31.765582, 42.188852
0.088500, 5.030453, 4.836970, 7.296019, 0.353600, 0.379927, 1.570796, 1.620683, -1.319756, 0.237129, 7.435227, 55.497260
0.090000, 4.996133, 5.925355, 4.145463, 0.353600, 0.379684, 1.570796, 1.619113, -1.345088, 0.585248, 5.708132, -4.229742
0.091500, 5.221244, 3.554754, 4.706623, 0.353600, 0.379342, 1.570796, 1.617832, -0.877200, 0.836619, -10.607134, 7.949363
0.093000, 3.518977, 1.098692, 2.415425, 0.353600, 0.378927, 1.570796, 1.616315, -0.214883, 0.992671, -10.007476, -56.926551
0.094500, 2.664841, 2.931748, 2.220875, 0.353600, 0.378479, 1.570796, 1.615265, -0.626105, 0.304863, 5.331536, -6.009943
0.096000, 1.336447, 1.818344, -2.277293, 0.353600, 0.377985, 1.570796, 1.613911, -0.332127, 0.178711, -45.116952, -50.750571
0.097500, 2.386373, 2.019661, 0.016552, 0.353600, 0.377459, 1.570796, 1.612771, -0.160015, 0.145722, -17.609984, 3.724734
0.099000, 0.707337, 0.962044, -2.087674, 0.353600, 0.376952, 1.570796, 1.611503, -0.095274, 0.446956, -32.111078, -69.928605
0.100500, 2.429261, -0.260668, 2.736620, 0.353600, 0.376375, 1.570796, 1.610339, 0.297071, 0.871416, -0.313828, 1.553824
0.102000, 1.820373, 1.131962, 2.533315, 0.353600, 0.375776, 1.570796, 1.609458, 0.087344, 0.388316, 19.449693, -3.852878
0.103500, 4.323531, 0.134312, 6.004762, 0.353600, 0.375134, 1.570796, 1.608425, 0.443506, 0.664616, 49.441432, 105.912618
0.105000, 2.572754, -1.055931, 1.120601, 0.353600, 0.374526, 1.570796, 1.607345, 0.689411, 0.804434, -2.346460, 44.236541
0.106500, -0.581041, 0.452699, 0.154311, 0.353600, 0.373880, 1.570796, 1.606652, 0.313324, 0.029935, 8.732119, -8.099181
0.108000, 0.851157, -1.377812, 1.039013, 0.353600, 0.373243, 1.570796, 1.605802, 0.550681, 0.476904, 7.383254, 22.916768
0.109500, -0.223980, -0.897638, 1.118724, 0.353600, 0.372588, 1.570796, 1.605076, 0.475279, 0.165644, 23.631716, 25.922534
0.111000, 0.248413, -0.646829, 5.359887, 0.353600, 0.371910, 1.570796, 1.604464, 0.648905, -0.054854, 39.063611, 109.484728
0.112500, -1.313235, -0.691897, 2.874200, 0.353600, 0.371289, 1.570796, 1.603895, 0.470772, -0.145520, 47.200196, 30.422267
0.114000, -0.338456, -1.910163, -1.540832, 0.353600, 0.370642, 1.570796, 1.603180, 0.661323, 0.232922, -9.819533, 44.572421
0.115500, -0.867039, -1.924011, -5.427836, 0.353600, 0.370019, 1.570796, 1.602521, 0.832638, 0.088128, -35.547406, -40.927100
0.117000, -0.716270, -2.616142, 1.848954, 0.353600, 0.369379, 1.570796, 1.602244, 0.892726, 0.181116, 24.723863, 56.303064
0.118500, -1.546301, -2.786950, -4.235549, 0.353600, 0.368793, 1.570796, 1.601770, 0.739108, 0.159614, -19.986860, -16.208647
0.120000, -1.905449, -2.606405, -4.708834, 0.353600, 0.368202, 1.570796, 1.601269, 0.901249, 0.121486, -23.047619, -31.534323
0.121500, -2.863214, -2.264582, 1.689021, 0.353600, 0.367604, 1.570796, 1.601333, 0.599393, -0.520280, 34.859214, 21.283134
0.123000, -0.302461, -2.909693, -2.451379, 0.353600, 0.367050, 1.570796, 1.600902, 0.958729, 0.197462, 0.939628, 42.378103
0.124500, -2.837546, -2.076545, -1.944181, 0.353600, 0.366510, 1.570796, 1.600764, 0.757734, -0.391621, 18.676086, -4.151559
0.126000, -2.133174, -3.364160, -1.331338, 0.353600, 0.365997, 1.570796, 1.600600, 0.815718, -0.048225, -6.891648, 17.067252
0.127500, -1.532262, -2.889628, 2.747448, 0.353600, 0.365554, 1.570796, 1.600478, 0.734722, 0.245189, 46.596270, 4.245322
0.129000, -1.341771, -2.743025, -1.472312, 0.353600, 0.365055, 1.570796, 1.600309, 0.850441, -0.059819, 8.802062, 11.101975
0.130500, -0.989280, -1.730874, -2.174130, 0.353600, 0.364595, 1.570796, 1.600181, 0.854582, -0.269333, -1.509191, 25.388697
0.132000, -4.457365, -3.767148, -7.806341, 0.353600, 0.364195, 1.570796, 1.600145, 0.774411, -0.049728, -37.351758, -97.019024
0.133500, -0.553450, -2.348102, -1.684671, 0.353600, 0.363782, 1.570796, 1.600208, 0.803727, 0.033573, -2.693705, 39.644136
0.135000, -2.434253, -1.873065, -1.518082, 0.353600, 0.363412, 1.570796, 1.600408, 0.486781, -0.373148, 17.244199, 30.422143
0.136500, -3.249389, -2.845542, -12.110625, 0.353600, 0.363069, 1.570796, 1.600181, 0.623407, -0.128492, -83.988174, -84.956012
0.138000, -1.774189, -1.437022, -4.784923, 0.353600, 0.362759, 1.570796, 1.600204, 0.675681, -0.067209, -11.378369, -10.439713
0.139500, -2.622964, -1.163347, -3.166910, 0.353600, 0.362444, 1.570796, 1.600338, 0.522298, -0.466050, -3.020671, -16.152065
0.141000, -2.521491, -1.883671, 2.604072, 0.353600, 0.362160, 1.570796, 1.600690, 0.333389, -0.461421, 38.217953, 66.723158
0.142500, -0.464378, -1.970798, -4.988051, 0.353600, 0.361943, 1.570796, 1.600382, 0.727056, 0.088308, -30.476123, -15.929395
0.144000, -1.292828, -1.462582, -1.035531, 0.353600, 0.361696, 1.570796, 1.600620, 0.518209, -0.224223, -0.268221, 14.625796
0.145500, -2.974581, -3.143875, -11.911142, 0.353600, 0.361530, 1.570796, 1.600473, 0.611766, 0.354547, -79.720463, -145.117601
0.147000, -1.305596, -1.642966, -2.189585, 0.353600, 0.361300, 1.570796, 1.600756, 0.533565, -0.056950, -0.400536, 8.593188
0.148500, -1.504763, -1.581097, -5.577021, 0.353600, 0.361116, 1.570796, 1.600901, 0.466575, -0.266616, -32.509482, -7.572395
0.150000, -2.468897, -2.450598, -2.848871, 0.353600, 0.360999, 1.570796, 1.600949, 0.463963, -0.032907, -8.174598, -35.364435
0.151500, -0.538767, -0.613834, 2.037448, 0.353600, 0.360872, 1.570796, 1.601127, 0.350530, -0.106993, 39.593791, 36.434574
0.153000, -2.405416, 0.386765, -0.588429, 0.353600, 0.360732, 1.570796, 1.601385, 0.061610, -0.625666, 5.801946, 29.058149
0.154500, 0.334035, -1.428808, -0.317706, 0.353600, 0.360679, 1.570796, 1.601212, 0.469623, 0.281251, 4.693534, 11.470960
0.156000, -1.156373, -2.026226, 3.808379, 0.353600, 0.360604, 1.570796, 1.601436, 0.404860, 0.212360, 35.879275, 9.011647
0.157500, -0.393158, -0.863491, 4.085708, 0.353600, 0.360509, 1.570796, 1.601712, 0.188572, -0.229082, 59.363638, 57.252932
0.159000, -1.576438, -0.421100, 1.650685, 0.353600, 0.360472, 1.570796, 1.601780, 0.028384, -0.325774, 35.630065, -2.016173
0.160500, -0.178829, -2.170640, 0.468453, 0.353600, 0.360436, 1.570796, 1.601624, 0.503703, 0.311095, 0.763816, -18.804315
0.162000, -0.424486, -0.280557, 1.720066, 0.353600, 0.360391, 1.570796, 1.601932, 0.055667, -0.113746, 28.258133, 28.584475
0.163500, -0.606471, -0.158148, -0.285924, 0.353600, 0.360383, 1.570796, 1.601903, 0.209280, -0.280522, 10.282464, -40.843375
0.165000, -1.343353, -1.344219, 0.367189, 0.353600, 0.360380, 1.570796, 1.601934, 0.261182, -0.070365, 19.347271, -39.616063
0.166500, -0.116352, -0.374219, -0.514706, 0.353600, 0.360371, 1.570796, 1.602090, 0.130561, -0.013803, 1.853938, -10.107126
0.168000, 0.044973, 0.153386, 0.589481, 0.353600, 0.360374, 1.570796, 1.602086, 0.264549, -0.086768, 12.968795, 6.541094
0.169500, -0.926448, 0.352973, -7.964856, 0.353600, 0.360375, 1.570796, 1.602103, 0.047636, -0.169450, -58.854107, -42.380401
